slug	area_name	name	notes
# === 三浦半島 ===
abosaki	三浦半島	安房崎	磯場中心の名所
aburatsubo	三浦半島	油壷	入り江状で変化が多い
aikuru	三浦半島	アイクル	足場が良く手軽に楽しめる
akiya	三浦半島	秋谷海岸	横須賀市の砂浜。立石公園近く。比較的空いている穴場
akiya-gyoko	三浦半島	秋谷漁港	小場所ながら実績あり
arai-ko	三浦半島	荒井港	小規模港で手軽に探れる
arasaki	三浦半島	荒崎	磯と岩礁の人気場
ashina-gyoko	三浦半島	芦名漁港	港内と外向き両方狙える
bishamon-tenka	三浦半島	毘沙門天下	荒磯で潮通し良好
bonten-no-hana-tateishi-koen	三浦半島	梵天の鼻（立石公園）	景観抜群の磯場
chojakasaki	三浦半島	長者ヶ崎海岸	葉山・横須賀境の岬周辺。砂礫混じり。眺望よく穴場的存在
hatsuse-gyoko	三浦半島	初声漁港	静かな港内ポイント
hayama-ko	三浦半島	葉山港	港内中心の手軽な場
heisakugawa-kako	三浦半島	平作川河口	河口絡みで変化を狙える
isshiki	三浦半島	一色海岸（葉山）	葉山の砂浜。投げ釣りの有名ポイント。西向きで相模湾に面する
jogashima-ganpeki	三浦半島	城ヶ島岸壁	岸壁で手軽に狙える
kamoi-ko	三浦半島	鴨居港	港内中心の実績場
kamome-danchi	三浦半島	かもめ団地	足場広めの岸壁ポイント
kaneda-gyoko	三浦半島	金田漁港	小場所ながら実績あり
kaneda-kaigan	三浦半島	金田海岸	砂浜中心で投げ釣り向き
kannonyama-shita	三浦半島	観音山下	地磯混じりの実績場
kannonzaki	三浦半島	観音崎	潮通し良い地磯エリア
kurihama	三浦半島	久里浜海岸	東京湾口の砂泥浜。波は穏やか。ペリー来航の地
kurosaki-no-hana	三浦半島	黒崎の鼻	景観抜群の磯浜エリア
kuruwa-gyoko	三浦半島	久留和漁港	静かな港で手軽に狙える
maguchi-gyoko	三浦半島	間口漁港	外洋寄りの漁港ポイント
manase-gyoko	三浦半島	真名瀬漁港	葉山の小規模港
misaki-ko	三浦半島	三崎港	港内で多魚種実績
miura	三浦半島	三浦海岸	神奈川屈指の投げ釣りポイント。白い砂浜が1km以上続く
morito	三浦半島	森戸海岸	葉山の砂礫浜。ヨット多いがサーファー少なめ。静かな環境
moroi-so	三浦半島	諸磯	小磯と港が混在する
nagai-ko	三浦半島	長井港	三浦西岸の代表港
nagatebana-goshuura	三浦半島	長手鼻・ゴーシュ浦	磯混じりで変化が多い
nagatorozaki	三浦半島	長津呂崎	先端部で潮がよく通る
nojima-koen	三浦半島	野島公園	岸壁と浜がある公園
nusuttogari	三浦半島	盗人狩	景観良い地磯ポイント
ohama	三浦半島	大浜海岸	三浦半島南端の砂浜。三崎漁港近く。比較的空いている
otsu-ko-shinteibo	三浦半島	大津港新堤防	港内で手軽に竿を出せる
oura-kaigan	三浦半島	大浦海岸	静かな浜で投げ釣り向き
sarushima	三浦半島	猿島	島の護岸と磯を探れる
shinjuku-ko	三浦半島	新宿港	岸壁でのんびり楽しめる
tonbi-iso	三浦半島	トンビ磯	小磯で変化を探れる
tsukui	三浦半島	津久井浜	ウィンドサーフィンで有名な砂浜。さまざまな魚が狙える好ポイント
tsurugizaki	三浦半島	剱崎	潮通し抜群の地磯場
umibe-tsuri-koen	三浦半島	海辺つり公園	横須賀の人気釣り公園
umikaze-koen	三浦半島	うみかぜ公園	横須賀定番の護岸公園
uraga-ko	三浦半島	浦賀港	湾奥寄りで探りやすい
urushiyama-ko	三浦半島	漆山港	港内中心の小場所
wada-nagahama-kaigan	三浦半島	和田長浜海岸	広い砂浜で投げ釣り向き
yashikura-no-iso	三浦半島	屋志倉の磯	磯好き向けの実績場
